box,item,author,title,isbn,publisher
2,Book,Hal Leonard,Guitar Method,9780634066511,
2,Book,Joe Sacco,Palestine,0224069829,
2,Book,Roger Scruton,England: an elegy,1856192512,
2,Book,王卡主,道教文化100词,9787506025362,
2,Book,Rosemary Sutcliff,The Hound of Ulster,,"C. Tinling & Co Ltd, 1963"
3,Paper padding,,,,
3,Book,George Holmes,The Oxford Illustrated History of Medieval Europe,0198200730,
3,Book,"John Boardman, Jasper Griffin, Oswyn Murray",The Oxford History of the Classic World,0198721129,
3,Book,Bob Dylan,Lyrics 1962-2001,0743231015,
3,Book,Michael L. Morgan,Classics of Moral and Political Theory,0872205770,
3,Book,Alan Clark,Diaries,0297813528,
3,Book,Alan Clark,Diaries Into Politics,0297644025,
3,Book,Alan Clark,The Last Diaries,0297607146,
3,Book,Chris Salewicz,Mick & Keith,0752818589,
3,Book,Souad,Brulee vive,9782915056099,
3,Book,Nicolas Mosley,The Rules of the Game,0436288494,
3,Book,John Peel,Margrave of the Marshes,0593052528,
3,Book,Rudyard Kipling,Just So Stories,9781405267397,
3,Book,Michel Onfray,L’ordre libertaire,9782081264410,
3,Book,Viatcheslav Avioutskii,Les revolutions de velours,2200345402,
3,Book,Barry Miles,The Beat Hotel,080211668X,
3,Book,Roddy Doyle,"Oh, Play That Thing",0224074369,
3,Book,Thomas S. Kuhn,The Structure of Scientific Revolutions,0226458040,
3,Book,Jimmy Song et al,Thank God for Bitcoin,9781641991216,
3,Book,Douglas R. Hofstadter,"Godel, Escher, Bach: an Eternal Golden Braid",0140289208,
3,Book,Frank Herbert,Dune,9780340960196,
3,Book,Edward Gibbon,The Decline and Fall of the Roman Empire,1853264997,
3,Book,C. S. Lewis,Selected Books,0007137443,
3,Book,Peter H. Wilson,Europe’s Tragedy,9780141006147,
3,Book,Various,The Kindness of Strangers,1740595904,
3,Book,Soren Kierkegaard,Ou bien… ou bien…,9782070701070,
4,Suit (jacket and trousers),,,,
4,Suit (jacket and trousers),,,,
4,Book,Leo Tolstoy,War and Peace Volume I,9780679405733,
4,Book,Leo Tolstoy,War and Peace Volume II,9780679405733,
4,Book,Leo Tolstoy,War and Peace Volume III,9780679405733,
4,Book,Aeschylus,The Oresteia,1857152603,
4,Book,Virgil,The Aeneid,1857150856,
4,Book,Sophocles,The Theban Plays,9781857150933,
4,Book,Joseph Roth,The Radetzky March,9781857151978,
4,Book,G.K. Chesterton,The Everyman Chesterton,9781841593371,
4,Book,Fyodor Dostoevsky,The Brothers Karamazov,9781857150704,
